,grid_topology,pv_penetration,hp_penetration,ev_penetration,season,lem,controller,fcast,average_energy_price,peak_power,max_loads,energy,energy_in,energy_out,energy_market,energy_balancing,costs_market,costs_balancing,energy_market_in,energy_balancing_in,energy_market_out,energy_balancing_out,main_in,main_out,hh_in,hh_out,pv_in,pv_out,bat_in,bat_out,hp_in,hp_out,ev_in,ev_out
0,Countryside,0.0,0.0,0.0,summer,True,mpc,naive,0.3907692779813627,-23.5,"[23.5, 23.128, 22.968, 22.824, 21.84, 21.568, 21.476, 21.232, 21.004, 20.828, 20.784, 20.692, 20.636, 20.552, 20.528, 20.52, 20.472, 20.14, 20.016, 19.988, 19.8, 19.66, 19.58, 19.476, 19.312, 19.284, 19.14, 19.068, 19.048, 18.892, 18.664, 18.556, 18.488, 18.484, 18.308, 18.112, 18.012, 18.0, 17.848, 17.812, 17.808, 17.776, 17.708, 17.664, 17.652, 17.608, 17.568, 17.528, 17.504, 17.488, 17.488, 17.4, 17.356, 17.212, 17.208, 17.184, 17.176, 17.12, 17.056, 17.036, 17.0, 16.972, 16.888, 16.776, 16.768, 16.676, 16.676, 16.612, 16.6, 16.572, 16.552, 16.508, 16.5, 16.48, 16.444, 16.384, 16.356, 16.344, 16.332, 16.276, 16.188, 16.164, 16.108, 16.06, 16.044, 16.044, 15.952, 15.912, 15.88, 15.868, 15.828, 15.82, 15.808, 15.804, 15.768, 15.764, 15.752, 15.74, 15.724, 15.712, 15.704]","{'main': [0, -7440], 'hh': [0, -7441], 'pv': [0, 0], 'bat': [0, 0], 'hp': [0, 0], 'ev': [0, 0]}",0,-7441,2169,310,,,310,0,1859,310,0,-7440,0,-7441,0,0,0,0,0,0,0,0
1,Countryside,0.0,0.0,0.0,transition,True,mpc,naive,0.39015598028684917,-20.532,"[20.532, 19.084, 18.572, 18.572, 18.376, 18.196, 18.124, 18.088, 18.032, 17.776, 17.424, 17.28, 16.968, 16.748, 16.636, 16.616, 16.54, 16.436, 16.396, 16.328, 16.308, 16.236, 16.084, 16.008, 15.996, 15.976, 15.872, 15.824, 15.68, 15.584, 15.524, 15.484, 15.376, 15.348, 15.3, 15.296, 15.212, 15.212, 15.196, 15.156, 15.152, 15.14, 15.128, 15.092, 15.076, 14.996, 14.976, 14.976, 14.976, 14.972, 14.928, 14.876, 14.816, 14.8, 14.748, 14.748, 14.744, 14.744, 14.696, 14.696, 14.656, 14.624, 14.6, 14.588, 14.564, 14.56, 14.504, 14.504, 14.496, 14.488, 14.468, 14.464, 14.456, 14.4, 14.4, 14.396, 14.388, 14.38, 14.36, 14.356, 14.336, 14.328, 14.316, 14.256, 14.224, 14.204, 14.188, 14.18, 14.168, 14.148, 14.144, 14.116, 14.092, 14.076, 14.02, 14.004, 13.972, 13.936, 13.928, 13.908, 13.9]","{'main': [0, -6599], 'hh': [0, -6600], 'pv': [0, 0], 'bat': [0, 0], 'hp': [0, 0], 'ev': [0, 0]}",0,-6600,1913,263,,,263,0,1650,263,0,-6599,0,-6600,0,0,0,0,0,0,0,0
2,Countryside,0.0,0.0,0.0,winter,True,mpc,naive,0.39055266076215345,-24.48,"[24.48, 22.8, 21.928, 21.664, 21.352, 21.328, 21.248, 21.244, 21.22, 20.992, 20.972, 20.88, 20.816, 20.724, 20.428, 20.24, 20.18, 20.008, 19.992, 19.812, 19.716, 19.668, 19.664, 19.612, 19.584, 19.384, 19.36, 19.352, 19.28, 19.228, 19.22, 19.208, 19.148, 19.084, 19.016, 18.88, 18.752, 18.724, 18.716, 18.636, 18.568, 18.52, 18.452, 18.432, 18.404, 18.36, 18.332, 18.308, 18.224, 18.132, 18.084, 18.06, 17.984, 17.796, 17.644, 17.624, 17.548, 17.528, 17.52, 17.436, 17.42, 17.296, 17.288, 17.276, 17.272, 17.156, 17.1, 17.092, 17.032, 17.032, 16.996, 16.968, 16.948, 16.908, 16.828, 16.804, 16.728, 16.612, 16.612, 16.584, 16.572, 16.512, 16.448, 16.388, 16.312, 16.296, 16.276, 16.232, 16.224, 16.212, 16.092, 16.052, 16.048, 16.024, 15.984, 15.948, 15.916, 15.892, 15.784, 15.776, 15.768]","{'main': [0, -7105], 'hh': [0, -7106], 'pv': [0, 0], 'bat': [0, 0], 'hp': [0, 0], 'ev': [0, 0]}",0,-7106,2067,291,,,291,0,1776,291,0,-7105,0,-7106,0,0,0,0,0,0,0,0
3,Countryside,0.0,0.0,0.25,summer,True,mpc,naive,0.3894736551080988,-26.42,"[26.42, 24.748, 24.396, 24.2, 23.952, 22.672, 22.58, 21.86, 21.84, 21.832, 21.504, 21.232, 21.156, 21.1, 21.004, 20.88, 20.76, 20.52, 20.472, 20.14, 20.016, 19.988, 19.8, 19.58, 19.476, 19.312, 19.292, 19.284, 19.272, 19.164, 19.14, 19.092, 19.076, 19.068, 19.048, 18.892, 18.776, 18.732, 18.664, 18.532, 18.516, 18.396, 18.392, 18.332, 18.244, 18.22, 18.18, 18.176, 18.032, 18.012, 17.9, 17.848, 17.812, 17.788, 17.776, 17.712, 17.708, 17.588, 17.488, 17.488, 17.444, 17.28, 17.208, 17.184, 17.176, 17.156, 17.12, 17.104, 17.104, 17.068, 17.036, 17.036, 16.888, 16.884, 16.824, 16.692, 16.64, 16.628, 16.58, 16.58, 16.572, 16.552, 16.5, 16.48, 16.384, 16.36, 16.356, 16.344, 16.3, 16.296, 16.292, 16.276, 16.276, 16.232, 16.192, 16.188, 16.116, 16.052, 15.976, 15.912, 15.828]","{'main': [0, -7736], 'hh': [0, -7441], 'pv': [0, 0], 'bat': [0, 0], 'hp': [0, 0], 'ev': [0, -297]}",0,-7738,2204,310,,,290,0,1914,310,0,-7736,0,-7441,0,0,0,0,0,0,0,-297
4,Countryside,0.0,0.0,0.25,transition,True,mpc,naive,0.38885739428430643,-20.532,"[20.532, 19.084, 18.668, 18.572, 18.572, 18.436, 18.412, 18.124, 18.032, 17.944, 17.424, 17.28, 17.112, 16.968, 16.944, 16.792, 16.748, 16.68, 16.636, 16.616, 16.328, 16.236, 16.208, 16.188, 16.084, 15.976, 15.872, 15.856, 15.824, 15.816, 15.748, 15.74, 15.68, 15.656, 15.616, 15.596, 15.524, 15.452, 15.404, 15.388, 15.348, 15.3, 15.3, 15.28, 15.252, 15.248, 15.236, 15.228, 15.196, 15.156, 15.152, 15.128, 15.128, 15.112, 15.092, 15.088, 15.064, 15.044, 15.004, 14.996, 14.976, 14.976, 14.956, 14.864, 14.864, 14.852, 14.744, 14.72, 14.696, 14.688, 14.66, 14.66, 14.628, 14.624, 14.62, 14.616, 14.616, 14.592, 14.588, 14.576, 14.552, 14.532, 14.504, 14.496, 14.488, 14.484, 14.464, 14.464, 14.456, 14.452, 14.4, 14.396, 14.368, 14.336, 14.32, 14.292, 14.216, 14.188, 14.18, 14.172, 14.168]","{'main': [0, -6804], 'hh': [0, -6600], 'pv': [0, 0], 'bat': [0, 0], 'hp': [0, 0], 'ev': [0, -205]}",0,-6805,1922,262,,,242,0,1680,262,0,-6804,0,-6600,0,0,0,0,0,0,0,-205
5,Countryside,0.0,0.0,0.25,winter,True,mpc,naive,0.388810198415616,-24.48,"[24.48, 23.284, 22.8, 22.312, 21.928, 21.664, 21.552, 21.352, 21.328, 21.316, 21.248, 21.22, 20.992, 20.972, 20.916, 20.88, 20.428, 20.38, 20.368, 20.272, 20.204, 20.18, 20.008, 19.992, 19.812, 19.692, 19.668, 19.624, 19.584, 19.548, 19.384, 19.38, 19.36, 19.352, 19.28, 19.228, 19.212, 19.172, 19.148, 18.98, 18.976, 18.88, 18.828, 18.788, 18.716, 18.636, 18.512, 18.452, 18.404, 18.332, 18.308, 18.224, 18.116, 18.084, 18.06, 17.984, 17.796, 17.768, 17.752, 17.668, 17.644, 17.632, 17.624, 17.608, 17.584, 17.528, 17.436, 17.364, 17.296, 17.288, 17.272, 17.176, 17.156, 17.1, 17.092, 17.032, 17.0, 16.996, 16.956, 16.948, 16.936, 16.848, 16.828, 16.82, 16.804, 16.792, 16.612, 16.572, 16.512, 16.456, 16.388, 16.34, 16.34, 16.312, 16.3, 16.296, 16.264, 16.252, 16.2, 16.092, 16.056]","{'main': [0, -7453], 'hh': [0, -7106], 'pv': [0, 0], 'bat': [0, 0], 'hp': [0, 0], 'ev': [0, -349]}",0,-7455,2101,290,,,264,0,1837,290,0,-7453,0,-7106,0,0,0,0,0,0,0,-349
6,Countryside,0.0,0.0,0.5,summer,True,mpc,naive,0.38665063604726313,-37.744,"[37.744, 29.728, 29.676, 29.22, 25.948, 25.756, 25.272, 25.008, 23.716, 23.712, 23.616, 23.324, 23.0, 22.872, 22.324, 22.312, 22.128, 22.104, 21.776, 21.46, 21.316, 21.184, 21.116, 21.084, 21.02, 20.828, 20.52, 20.472, 20.34, 20.316, 20.2, 20.132, 20.124, 19.976, 19.932, 19.884, 19.852, 19.784, 19.78, 19.74, 19.648, 19.608, 19.584, 19.5, 19.476, 19.436, 19.408, 19.244, 19.212, 19.2, 19.124, 19.1, 19.056, 18.892, 18.844, 18.576, 18.572, 18.54, 18.52, 18.392, 18.36, 18.328, 18.288, 18.252, 18.22, 18.192, 18.112, 18.092, 18.044, 17.968, 17.956, 17.956, 17.896, 17.892, 17.864, 17.848, 17.836, 17.772, 17.756, 17.752, 17.744, 17.712, 17.7, 17.592, 17.556, 17.54, 17.504, 17.472, 17.432, 17.428, 17.384, 17.364, 17.352, 17.328, 17.324, 17.308, 17.28, 17.252, 17.228, 17.216, 17.208]","{'main': [0, -8346], 'hh': [0, -7441], 'pv': [0, 0], 'bat': [0, 0], 'hp': [0, 0], 'ev': [0, -907]}",0,-8348,2252,309,,,237,0,2015,309,0,-8346,0,-7441,0,0,0,0,0,0,0,-907
7,Countryside,0.0,0.0,0.5,transition,True,mpc,naive,0.38604228777138144,-24.912,"[24.912, 20.588, 20.404, 19.324, 18.812, 18.744, 18.696, 18.672, 18.628, 18.412, 18.28, 17.944, 17.844, 17.776, 17.652, 17.432, 17.136, 17.084, 17.048, 17.0, 16.968, 16.904, 16.892, 16.872, 16.792, 16.68, 16.644, 16.636, 16.484, 16.48, 16.444, 16.372, 16.3, 16.296, 16.28, 16.256, 16.244, 16.208, 16.128, 16.112, 16.104, 16.104, 15.98, 15.976, 15.904, 15.896, 15.876, 15.876, 15.816, 15.76, 15.708, 15.588, 15.564, 15.548, 15.52, 15.516, 15.484, 15.468, 15.432, 15.432, 15.428, 15.388, 15.388, 15.388, 15.384, 15.344, 15.344, 15.34, 15.328, 15.316, 15.228, 15.22, 15.216, 15.212, 15.172, 15.168, 15.156, 15.108, 15.1, 15.072, 15.032, 15.012, 15.012, 14.96, 14.94, 14.912, 14.908, 14.904, 14.88, 14.872, 14.868, 14.836, 14.804, 14.804, 14.76, 14.752, 14.744, 14.716, 14.712, 14.664, 14.628]","{'main': [0, -7172], 'hh': [0, -6600], 'pv': [0, 0], 'bat': [0, 0], 'hp': [0, 0], 'ev': [0, -573]}",0,-7173,1910,262,,,190,0,1720,262,0,-7172,0,-6600,0,0,0,0,0,0,0,-573
8,Countryside,0.0,0.0,0.5,winter,True,mpc,naive,0.3872069564559717,-26.432,"[26.432, 25.564, 24.48, 24.296, 22.8, 22.312, 21.928, 21.86, 21.816, 21.664, 21.352, 21.328, 21.324, 21.248, 21.22, 21.108, 21.02, 20.992, 20.972, 20.88, 20.76, 20.516, 20.496, 20.428, 20.38, 20.328, 20.284, 20.204, 20.18, 20.008, 19.992, 19.888, 19.812, 19.692, 19.668, 19.584, 19.44, 19.384, 19.384, 19.36, 19.352, 19.328, 19.28, 19.228, 19.148, 18.88, 18.828, 18.788, 18.716, 18.712, 18.684, 18.636, 18.504, 18.452, 18.404, 18.332, 18.308, 18.224, 18.092, 18.06, 17.984, 17.86, 17.796, 17.796, 17.788, 17.776, 17.76, 17.66, 17.644, 17.624, 17.624, 17.528, 17.436, 17.296, 17.288, 17.272, 17.156, 17.1, 17.092, 17.06, 17.056, 17.032, 17.0, 16.996, 16.992, 16.96, 16.948, 16.86, 16.828, 16.792, 16.612, 16.512, 16.456, 16.388, 16.376, 16.34, 16.34, 16.312, 16.3, 16.296, 16.296]","{'main': [0, -7632], 'hh': [0, -7106], 'pv': [0, 0], 'bat': [0, 0], 'hp': [0, 0], 'ev': [0, -527]}",0,-7633,2078,290,,,230,0,1848,290,0,-7632,0,-7106,0,0,0,0,0,0,0,-527
9,Countryside,0.0,0.0,0.75,summer,True,mpc,naive,0.3842051628208122,-38.3,"[38.3, 31.116, 29.74, 29.356, 27.124, 26.956, 25.948, 25.272, 25.008, 23.772, 23.764, 23.712, 23.384, 23.324, 23.064, 22.924, 22.504, 22.408, 22.132, 22.128, 22.12, 22.12, 22.076, 21.924, 21.804, 21.764, 21.752, 21.368, 21.228, 21.22, 21.164, 21.104, 20.844, 20.572, 20.568, 20.56, 20.388, 20.372, 20.356, 20.344, 20.308, 20.3, 20.292, 20.28, 20.124, 20.016, 20.012, 19.98, 19.944, 19.768, 19.752, 19.74, 19.736, 19.696, 19.592, 19.584, 19.524, 19.508, 19.496, 19.46, 19.444, 19.32, 19.264, 19.26, 19.188, 19.184, 19.168, 19.132, 19.12, 19.108, 19.04, 19.036, 19.016, 18.936, 18.892, 18.884, 18.792, 18.776, 18.756, 18.64, 18.624, 18.44, 18.364, 18.364, 18.308, 18.252, 18.244, 18.24, 18.176, 18.176, 18.164, 18.04, 18.032, 18.02, 18.02, 17.944, 17.916, 17.9, 17.9, 17.872, 17.744]","{'main': [0, -8791], 'hh': [0, -7441], 'pv': [0, 0], 'bat': [0, 0], 'hp': [0, 0], 'ev': [0, -1351]}",0,-8792,2249,308,,,180,0,2069,308,0,-8791,0,-7441,0,0,0,0,0,0,0,-1351
